Frequency_MHz,Set_dBm,Actual_dBm,Deviation_dB,ADC_Power_dBm,Result
50.0,0.0,0.17,0.17,,PASS
50.0,-2.0,-1.95,0.05,29,PASS
50.0,-4.0,-3.93,0.07,35,PASS
50.0,-6.0,-5.89,0.11,,PASS
50.0,-8.0,-7.87,0.13,,PASS
50.0,-10.0,-10.0,0.0,,PASS
50.0,-12.0,-11.95,0.05,,PASS
50.0,-14.0,-13.91,0.09,65,PASS
50.0,-16.0,-15.88,0.12,71,PASS
50.0,-18.0,-18.02,-0.02,887.7,PASS
50.0,-20.0,-19.98,0.02,,PASS
50.0,-22.0,-21.93,0.07,89,PASS
50.0,-24.0,-23.89,0.11,,PASS
50.0,-26.0,-25.8,0.2,,PASS
50.0,-28.0,-27.93,0.07,,PASS
50.0,-30.0,-29.97,0.03,113,PASS
