Frequency_MHz,Set_dBm,Actual_dBm,Deviation_dB,ADC_Power_dBm,Result
50.0,0.0,-0.23,-0.23,23,PASS
50.0,-2.0,-2.24,-0.24,30,PASS
50.0,-4.0,-4.18,-0.18,37,PASS
50.0,-6.0,-5.93,0.07,44,PASS
50.0,-8.0,-8.17,-0.17,51,PASS
50.0,-10.0,-10.19,-0.19,58,PASS
50.0,-12.0,-12.15,-0.15,65,PASS
50.0,-14.0,-14.22,-0.22,72,PASS
50.0,-16.0,-16.19,-0.19,79,PASS
50.0,-18.0,-18.14,-0.14,86,PASS
50.0,-20.0,-20.19,-0.19,93,PASS
50.0,-22.0,-22.36,-0.36,100,PASS
50.0,-24.0,-24.19,-0.19,107,PASS
50.0,-26.0,-26.24,-0.24,114,PASS
50.0,-28.0,-28.14,-0.14,121,PASS
50.0,-30.0,-30.16,-0.16,128,PASS
70.0,0.0,-0.0,-0.0,135,PASS
70.0,-2.0,-2.09,-0.09,142,PASS
